,排名,上年排名,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
106,107,152,墨西哥石油公司（PEMEX),73850.4,-14846.1,墨西哥
107,108,140,标致（PEUGEOT),73505.7,2174.4,法国
108,109,120,中国五矿集团公司（CHINA MINMETALS),72997.4,-210.7,中国
109,110,100,中国南方电网有限责任公司（CHINA SOUTHERN POWER GRID),72787.3,1937.9,中国
110,111,183,正威国际集团（AMER INTERNATIONAL GROUP),72766.2,1545.8,中国
111,112,126,巴斯夫公司（BASF),72677.2,6851.2,德国
112,113,119,中国邮政集团公司（CHINA POST GROUP),72197.3,4960.7,中国
113,114,110,松下（PANASONIC),72045.0,2130.4,日本
114,115,158,俄罗斯石油公司（ROSNEFT OIL),72027.9,3807.2,俄罗斯
115,116,107,塔吉特公司（TARGET),71879.0,2934,美国
116,117,114,中国人民保险集团股份有限公司（PEOPLE'S INSURANCE CO. OF CHINA),71579.1,2382,中国
117,118,165,皇家阿霍德德尔海兹集团（ROYAL AHOLD DELHAIZE),70890.6,2048.2,荷兰
118,119,117,德国邮政敦豪集团（DEUTSCHE POST DHL GROUP),70544.5,3058.1,德国
119,120,109,慕尼黑再保险集团（MUNICH RE),70143.3,422.7,德国
120,121,108,法国兴业银行（SOCIÉTÉ GÉNÉRALE),69948.2,3163,法国
121,122,136,中粮集团有限公司（COFCO),69669.1,393.5,中国
122,123,99,美国邮政（U.S. POSTAL SERVICE),69636.0,-2742,美国
123,124,137,北京汽车集团（BEIJING AUTOMOTIVE GROUP),69591.3,1554.5,中国
124,125,125,中国第一汽车集团公司（CHINA FAW GROUP),69524.4,2855.8,中国
125,126,111,日本生命保险公司（NIPPON LIFE INSURANCE),68684.2,2201.6,日本
126,127,156,安赛乐米塔尔（ARCELORMITTAL),68679.0,4568,卢森堡
127,128,122,美国劳氏公司（LOWE'S),68619.0,3447,美国
128,129,145,三菱商事株式会社（MITSUBISHI),68301.4,5056,日本
129,130,116,丸红株式会社（MARUBENI),68057.2,1906.8,日本
130,131,160,马拉松原油公司（MARATHON PETROLEUM),67610.0,3432,美国
131,132,129,天津物产集团有限公司（TEWOO GROUP),66577.4,121.9,中国
132,133,113,伊塔乌联合银行控股公司（ITAÚ UNIBANCO HOLDING),66286.6,7488.3,巴西
133,134,157,雷诺（RENAULT),66246.5,5764.6,法国
134,135,98,宝洁公司（PROCTER & GAMBLE),66217.0,15326,美国
135,136,128,大都会人寿（METLIFE),66153.0,4010,美国
136,137,168,印度石油公司（INDIAN OIL),65915.8,3442.2,印度
137,138,138,联合包裹速递服务公司（UNITED PARCEL SERVICE),65872.0,4910,美国
138,139,147,荷兰全球保险集团（AEGON),65437.1,2783.1,荷兰
139,140,135,中国兵器工业集团公司（CHINA NORTH INDUSTRIES),64646.3,857.7,中国
140,141,133,中国电信集团公司（CHINA TELECOMMUNICATIONS),63974.0,1819.9,中国
141,142,112,苏黎世保险集团（ZURICH INSURANCE GROUP),63961.0,3004,瑞士
142,143,90,英杰华集团（AVIVA),63933.6,1927.6,英国
143,144,131,百事公司（PEPSICO),63525.0,4857,美国
144,145,142,第一生命控股有限公司（DAI-ICHI LIFE),63521.6,3284.7,日本
145,146,144,英特尔公司（INTEL),62761.0,9601,美国
146,147,196,陶氏杜邦公司（DOWDUPONT),62683.0,1460,美国
147,148,203,信实工业公司（RELIANCE INDUSTRIES),62303.6,5596.3,印度
148,149,172,中国中信集团有限公司（CITIC GROUP),61316.2,3224.7,中国
149,150,207,Equinor公司（EQUINOR),61187.0,4590,挪威
150,151,104,法国BPCE银行集团（GROUPE BPCE),61127.8,3408.7,法国
151,152,134,ADM公司（ARCHER DANIELS MIDLAND),60828.0,1595,美国
152,153,150,联合利华（UNILEVER),60548.4,6823,英国/荷兰
