序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
165,576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,江门市,蓬江区,4.75亿,-2.84亿,232,1994-09-07,--,,造纸,主营业务:贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。,贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。
166,581,威孚高科,无锡威孚高科技集团股份有限公司,无锡市,滨湖区,90.17亿,26.47亿,5441,1998-09-24,--,,汽车零部件,主营业务:汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务,汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务
167,582,北部湾港,北部湾港股份有限公司,北海市,海城区,37.11亿,6.43亿,7197,1995-11-02,--,,港口,主营业务:从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等,从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等
168,584,哈工智能,江苏哈工智能机器人股份有限公司,无锡市,江阴市,15.72亿,1.15亿,1013,1995-11-28,--,,氨纶,主营业务:智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。,智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。
169,585,*ST东电,东北电气发展股份有限公司,常州市,新北区,3298.59万,-3.98亿,167,1995-12-13,--,,其他输变电设备,主营业务:电力电容器及封闭母线等系统保护及传输设备的制造和营销,电力电容器及封闭母线等系统保护及传输设备的制造和营销
170,586,汇源通信,四川汇源光通信股份有限公司,成都市,金牛区,3.90亿,94.63万,--,1995-12-20,--,,通信传输设备,主营业务:通信工程及系统集成业务、光纤、光缆及相关产品业务,通信工程及系统集成业务、光纤、光缆及相关产品业务
171,587,金洲慈航,金洲慈航集团股份有限公司,伊春市,伊春区,116.98亿,11.10亿,118,1996-04-25,--,,珠宝首饰,主营业务:黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁
172,589,贵州轮胎,贵州轮胎股份有限公司,贵阳市,乌当区,69.60亿,-2.22亿,6052,1996-03-08,--,,轮胎,主营业务:轮胎生产及销售,轮胎生产及销售
173,590,启迪古汉,启迪古汉集团股份有限公司,衡阳市,蒸湘区,3.44亿,990.60万,1336,1996-01-19,--,,中药生产,主营业务:主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。,主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。
174,591,太阳能,中节能太阳能股份有限公司,重庆市,渝中区,52.05亿,8.11亿,1824,1996-02-08,--,,新能源发电,"主营业务:太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售","太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售"
175,592,平潭发展,中福海峡(平潭)发展股份有限公司,福州市,平潭县,8.48亿,-687.32万,--,1996-03-27,--,,木材加工,主营业务:造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
176,593,大通燃气,四川大通燃气开发股份有限公司,成都市,成华区,4.86亿,2681.59万,1090,1996-03-12,--,,燃气,主营业务:城市管道燃气和零售商业,城市管道燃气和零售商业
177,595,*ST宝实,宝塔实业股份有限公司,银川市,西夏区,4.36亿,2783.79万,1335,1996-04-19,--,,基础件,主营业务:轴承制造、物资贸易,轴承制造、物资贸易
178,596,古井贡酒,安徽古井贡酒股份有限公司,亳州市,亳州市,69.68亿,11.85亿,9681,1996-09-27,--,,白酒,主营业务:白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等,白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等
179,597,东北制药,东北制药集团股份有限公司,沈阳市,于洪区,56.76亿,9205.77万,7826,1996-05-23,--,,化学原料药,主营业务:生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售
180,598,兴蓉环境,成都市兴蓉环境股份有限公司,成都市,青羊区,37.31亿,9.16亿,3912,1996-05-29,--,,污水处理,主营业务:自来水供应、污水处理及垃圾渗滤液处理。,自来水供应、污水处理及垃圾渗滤液处理。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
181,599,青岛双星,青岛双星股份有限公司,青岛市,黄岛区,39.98亿,1.02亿,4648,1996-04-30,--,,轮胎,主营业务:轮胎、机械等产品的生产及销售。,轮胎、机械等产品的生产及销售。
182,600,建投能源,河北建投能源投资股份有限公司,石家庄市,石家庄市,105.69亿,3.12亿,4540,1996-06-06,--,,火电,主营业务:投资、建设、运营管理以电力生产为主的能源项目,投资、建设、运营管理以电力生产为主的能源项目
183,601,韶能股份,广东韶能集团股份有限公司,韶关市,武江区,35.94亿,4.58亿,4962,1996-08-30,--,,火电,主营业务:电力生产与销售,电力生产与销售
184,603,盛达资源,盛达金属资源股份有限公司,北京市,大兴区,13.34亿,4.62亿,1380,1996-08-23,--,,铅锌,主营业务:有色金属矿采选，铅精粉（含银）、锌精粉的生产和销售,有色金属矿采选，铅精粉（含银）、锌精粉的生产和销售
185,605,渤海股份,渤海水业股份有限公司,北京市,顺义区,16.63亿,1.75亿,1795,1996-09-13,--,,水务,主营业务:原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
186,606,顺利办,顺利办信息服务股份有限公司,西宁市,城东区,5.16亿,7759.19万,2143,1996-10-04,--,,其他互联网服务,主营业务:互联网服务业务,互联网服务业务
187,607,华媒控股,浙江华媒控股股份有限公司,杭州市,下城区,18.32亿,2.10亿,2797,1996-08-30,--,,营销服务,主营业务:经营广告、报刊发行、印刷及新媒体业务、新增教育培训,经营广告、报刊发行、印刷及新媒体业务、新增教育培训
188,608,阳光股份,阳光新业地产股份有限公司,南宁市,江南区,5.34亿,1.90亿,109,1996-09-19,--,,房地产开发,主营业务:房地产开发与销售，投资性房地产出租与资产管理输出服务,房地产开发与销售，投资性房地产出租与资产管理输出服务
189,609,中迪投资,北京中迪投资股份有限公司,北京市,丰台区,2.71亿,1.34亿,195,1996-10-10,--,,综合,主营业务:股权投资和资产投资,股权投资和资产投资
190,610,西安旅游,西安旅游股份有限公司,西安市,碑林区,7.30亿,-2012.53万,691,1996-09-26,--,,景区,主营业务:酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
191,611,*ST天首,内蒙古天首科技发展股份有限公司,包头市,青山区,4077.93万,-2152.78万,36,1996-10-08,--,,纺织,主营业务:纺织品加工、销售，高硅硅锰铁合金等新材料贸易,纺织品加工、销售，高硅硅锰铁合金等新材料贸易
192,612,焦作万方,焦作万方铝业股份有限公司,焦作市,马村区,50.17亿,1.76亿,2747,1996-09-26,--,,铝,主营业务:铝冶炼及加工,铝冶炼及加工
193,613,大东海A,海南大东海旅游中心股份有限公司,三亚市,三亚市,2790.66万,285.90万,133,1997-01-28,--,,酒店,主营业务:旅游服务业中的住宿和餐饮,旅游服务业中的住宿和餐饮
194,615,京汉股份,京汉实业投资集团股份有限公司,襄阳市,樊城区,27.95亿,4.18亿,3728,1996-10-16,--,,房地产开发,主营业务:房地产业务和粘胶纤维业务,房地产业务和粘胶纤维业务
195,616,海航投资,海航投资集团股份有限公司,大连市,中山区,9670.73万,792.84万,179,1996-11-08,--,,房地产开发,主营业务:以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。,以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。
196,617,中油资本,中国石油集团资本股份有限公司,克拉玛依市,克拉玛依区,293.05亿,135.12亿,4361,1996-10-22,--,,其他非银行金融,主营业务:以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务。,以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务。
197,619,海螺型材,芜湖海螺型材科技股份有限公司,芜湖市,鸠江区,30.88亿,1478.16万,3812,1996-10-23,--,,其他建材,主营业务:主要生产销售塑料型材、门窗等节能建筑材料。,主要生产销售塑料型材、门窗等节能建筑材料。
198,620,新华联,新华联文化旅游发展股份有限公司,北京市,通州区,74.41亿,8.53亿,7939,1996-10-29,--,,房地产开发,主营业务:房地产开发、经营与建筑装修,房地产开发、经营与建筑装修
199,622,恒立实业,恒立实业发展集团股份有限公司,岳阳市,岳阳楼区,5873.31万,-3669.78万,137,1996-11-07,--,,汽车零部件,主营业务:汽车空调及零部件业务和贸易,汽车空调及零部件业务和贸易
200,623,吉林敖东,吉林敖东药业集团股份有限公司,延边朝鲜族自治州,敦化市,29.77亿,18.45亿,3997,1996-10-28,--,,中药生产,主营业务:制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营,制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
201,625,长安汽车,重庆长安汽车股份有限公司,重庆市,江北区,800.12亿,72.08亿,36764,1997-06-10,--,,乘用车,主营业务:制造和销售汽车(含轿车)、制造汽车发动机系列产品,制造和销售汽车(含轿车)、制造汽车发动机系列产品
202,626,远大控股,远大产业控股股份有限公司,连云港市,连云港市,1015.25亿,-3.72亿,643,1996-11-28,--,,贸易,主营业务:进出口贸易业务,进出口贸易业务
203,627,天茂集团,天茂实业集团股份有限公司,荆门市,荆门市,534.06亿,26.78亿,2314,1996-11-12,--,,保险,主营业务:从事化工和医药原料药的生产和销售,从事化工和医药原料药的生产和销售
204,628,高新发展,成都高新发展股份有限公司,成都市,武侯区,5.73亿,2911.79万,1137,1996-11-18,--,,专业工程,主营业务:建筑业、房地产、厨柜制造、期货经纪等业务,建筑业、房地产、厨柜制造、期货经纪等业务
205,629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,攀枝花市,东区,94.36亿,9.20亿,--,1996-11-15,--,,普钢,主营业务:钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发,钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发
206,630,铜陵有色,铜陵有色金属集团股份有限公司,铜陵市,铜官区,824.29亿,7.29亿,15292,1996-11-20,--,,铜,主营业务:铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。,铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。
207,631,顺发恒业,顺发恒业股份公司,长春市,朝阳区,66.82亿,7.58亿,685,1996-11-22,--,,房地产开发,主营业务:房地产领域开发与运营,房地产领域开发与运营
208,632,三木集团,福建三木集团股份有限公司,福州市,马尾区,66.61亿,6138.70万,--,1996-11-21,--,,综合,主营业务:房地产开发与经营、进出口贸易。,房地产开发与经营、进出口贸易。
209,633,合金投资,新疆合金投资股份有限公司,沈阳市,沈阳市,6645.77万,-2499.37万,251,1996-11-12,--,,其他金属新材料,主营业务:镍基合金材料的制造和销售,镍基合金材料的制造和销售
210,635,英力特,宁夏英力特化工股份有限公司,石嘴山市,惠农区,19.65亿,9331.30万,2180,1996-11-20,--,,氯碱,主营业务:电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
211,636,风华高科,广东风华高新科技股份有限公司,肇庆市,端州区,33.55亿,2.62亿,6176,1996-11-29,--,,电子元件,主营业务:系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。,系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。
212,637,茂化实华,茂名石化实华股份有限公司,茂名市,茂南区,44.08亿,1.18亿,622,1996-11-14,--,,石油加工,主营业务:石油化工产品的生产及销售,石油化工产品的生产及销售
213,638,万方发展,万方城镇投资发展股份有限公司,沈阳市,和平区,1.28亿,1981.97万,390,1996-11-26,--,,贸易,主营业务:与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务,与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务
214,639,西王食品,西王食品股份有限公司,滨州市,邹平县,56.18亿,3.96亿,1924,1996-11-26,--,,植物油,主营业务:健康食用油及运动营养和体重管理,健康食用油及运动营养和体重管理
215,650,仁和药业,仁和药业股份有限公司,南昌市,青山湖区,38.44亿,4.41亿,6886,1996-12-10,--,,中药生产,主营业务:生产、销售中西药及健康相关产品，包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。,生产、销售中西药及健康相关产品，包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。
216,651,格力电器,珠海格力电器股份有限公司,珠海市,香洲区,1500.20亿,225.08亿,88846,1996-11-18,--,,空调,主营业务:生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务
217,652,泰达股份,天津泰达股份有限公司,天津市,滨海新区,190.23亿,5.48亿,--,1996-11-28,--,,贸易,主营业务:生态环保、区域开发、能源贸易、股权投资,生态环保、区域开发、能源贸易、股权投资
218,655,金岭矿业,山东金岭矿业股份有限公司,淄博市,张店区,10.44亿,-3.20亿,2851,1996-11-28,--,,铁矿石,主营业务:铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。,铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
219,656,金科股份,金科地产集团股份有限公司,重庆市,江北区,347.58亿,22.85亿,22812,1996-11-28,--,,房地产开发,主营业务:房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅,房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅
220,657,中钨高新,中钨高新材料股份有限公司,海口市,龙华区,67.09亿,1.89亿,7537,1996-12-05,--,,钨,主营业务:硬质合金生产及加工销售,硬质合金生产及加工销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
221,659,珠海中富,珠海中富实业股份有限公司,珠海市,珠海市,16.15亿,9092.02万,1976,1996-12-03,--,,包装印刷,"主营业务:从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。","从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。"
222,661,长春高新,长春高新技术产业(集团)股份有限公司,长春市,朝阳区,41.02亿,9.28亿,5535,1996-12-18,--,,生物医药,"主营业务:以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。","以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。"
223,662,天夏智慧,天夏智慧城市科技股份有限公司,梧州市,长洲区,16.66亿,5.74亿,349,1996-12-16,--,,行业应用软件,主营业务:软件产品销售、系统集成建设与运营服务,软件产品销售、系统集成建设与运营服务
224,663,*ST永林,福建省永安林业(集团)股份有限公司,三明市,永安市,11.92亿,4280.25万,2077,1996-12-06,--,,木材加工,主营业务:木(竹)材采运、加工，林产化工产品制造。,木(竹)材采运、加工，林产化工产品制造。
225,665,湖北广电,湖北省广播电视信息网络股份有限公司,武汉市,汉阳区,26.12亿,3.31亿,7855,1996-12-10,--,,有线电视,主营业务:有线电视网络运营,有线电视网络运营
226,666,经纬纺机,经纬纺织机械股份有限公司,北京市,大兴区,98.04亿,29.44亿,8084,1996-12-10,--,,其他非银行金融,主营业务:生产与销售纺织机械业务及金融信托业务,生产与销售纺织机械业务及金融信托业务
227,667,美好置业,美好置业集团股份有限公司,昆明市,五华区,44.38亿,6.47亿,3732,1996-12-05,--,,房地产开发,主营业务:房地产开发、装配式建筑、现代农业等相关业务,房地产开发、装配式建筑、现代农业等相关业务
228,668,荣丰控股,荣丰控股集团股份有限公司,上海市,浦东新区,2.70亿,1389.16万,166,1996-12-10,--,,房地产开发,主营业务:房地产开发与销售、物业出租,房地产开发与销售、物业出租
229,669,*ST金鸿,金鸿控股集团股份有限公司,吉林市,吉林市,37.65亿,2.90亿,2866,1996-12-10,--,,燃气,主营业务:天然气长输管道及城市燃气管网的建设和运营,天然气长输管道及城市燃气管网的建设和运营
230,670,*ST盈方,盈方微电子股份有限公司,荆州市,沙市区,2.41亿,-3.11亿,44,1996-12-17,--,,半导体材料,主营业务:面向移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售，并提供硬件设计和软件应用的整体解决方案。,面向移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售，并提供硬件设计和软件应用的整体解决方案。
231,671,阳光城,阳光城集团股份有限公司,福州市,马尾区,331.63亿,22.28亿,9676,1996-12-18,--,,房地产开发,主营业务:房地产开发、商品贸易。,房地产开发、商品贸易。
232,672,上峰水泥,甘肃上峰水泥股份有限公司,白银市,白银区,45.88亿,7.68亿,2394,1996-12-18,--,,水泥,主营业务:水泥产品生产与销售，建材产品,水泥产品生产与销售，建材产品
233,673,*ST当代,当代东方投资股份有限公司,大同市,南郊区,8.20亿,1.55亿,341,1997-01-24,--,,影视,主营业务:影视文化业,影视文化业
234,676,智度股份,智度科技股份有限公司,郑州市,郑州市,63.75亿,5.28亿,873,1996-12-24,--,,其他互联网服务,主营业务:互联网相关业务,互联网相关业务
235,677,恒天海龙,恒天海龙股份有限公司,潍坊市,寒亭区,5.54亿,773.29万,951,1996-12-26,--,,粘胶纤维,主营业务:粘胶纤维及帘帆布的生产与销售,粘胶纤维及帘帆布的生产与销售
236,678,襄阳轴承,襄阳汽车轴承股份有限公司,襄阳市,襄城区,15.22亿,1422.12万,3633,1997-01-06,--,,汽车零部件,主营业务:从事轴承及其零部件的生产、科研、销售及相关业务,从事轴承及其零部件的生产、科研、销售及相关业务
237,679,*ST友谊,大连友谊(集团)股份有限公司,大连市,中山区,18.43亿,199.80万,520,1997-01-24,--,,百货,主营业务:以零售业、酒店业、房地产业为主，其它策略性投资为补充,以零售业、酒店业、房地产业为主，其它策略性投资为补充
238,680,山推股份,山推工程机械股份有限公司,济宁市,任城区,63.51亿,6053.66万,5379,1997-01-22,--,,工程机械,主营业务:工程机械制造,工程机械制造
239,681,视觉中国,视觉(中国)文化发展股份有限公司,常州市,武进区,8.15亿,3.13亿,521,1997-01-21,--,,网络媒体,主营业务:提供优质正版图片、视频等视觉内容及增值服务,提供优质正版图片、视频等视觉内容及增值服务
240,682,东方电子,东方电子股份有限公司,烟台市,芝罘区,27.08亿,1.86亿,5087,1997-01-21,--,,电气自控设备,主营业务:电子及通信设备开发、生产、销售及咨询服务。,电子及通信设备开发、生产、销售及咨询服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
241,683,远兴能源,内蒙古远兴能源股份有限公司,鄂尔多斯市,东胜区,103.04亿,9.39亿,4913,1997-01-31,--,,纯碱,主营业务:甲醇、煤炭的生产与销售。,甲醇、煤炭的生产与销售。
242,685,中山公用,中山公用事业集团股份有限公司,中山市,中山市,17.60亿,11.17亿,4036,1997-01-23,--,,污水处理,主营业务:生产供应自来水、污水处理和农贸农批市场经营、物业开发,生产供应自来水、污水处理和农贸农批市场经营、物业开发
243,686,东北证券,东北证券股份有限公司,长春市,朝阳区,49.34亿,7.03亿,3405,1997-02-27,--,,证券,主营业务:证券经纪业务、证券承销与保荐业务、证券自营业务和证券资产管理业务等,证券经纪业务、证券承销与保荐业务、证券自营业务和证券资产管理业务等
244,687,华讯方舟,华讯方舟股份有限公司,保定市,竞秀区,17.60亿,1.26亿,894,1997-02-21,--,,通信终端设备,主营业务:军事通信及配套业务,军事通信及配套业务
245,688,国城矿业,国城矿业股份有限公司,重庆市,涪陵区,12.40亿,4.10亿,1035,1997-01-20,--,,铅锌,主营业务:有色金属采、选及贸易,有色金属采、选及贸易
246,690,宝新能源,广东宝丽华新能源股份有限公司,梅州市,梅县区,25.15亿,1.03亿,1370,1997-01-28,--,,火电,主营业务:电力、建筑施工、投资等,电力、建筑施工、投资等
247,691,亚太实业,海南亚太实业发展股份有限公司,兰州市,城关区,4614.78万,-896.34万,30,1997-02-28,--,,房地产开发,主营业务:房地产开发与销售,房地产开发与销售
248,692,惠天热电,沈阳惠天热电股份有限公司,沈阳市,沈河区,17.66亿,-5627.22万,2606,1997-02-27,--,,其他发电,主营业务:民用和工业用供热和供汽,民用和工业用供热和供汽
249,693,华泽退,成都华泽钴镍材料股份有限公司,成都市,温江区,3.91亿,-22.88亿,425,1997-02-26,--,,其他稀有小金属,主营业务:镍铁矿资源的采选、冶炼及相关产品的生产和销售,镍铁矿资源的采选、冶炼及相关产品的生产和销售
250,695,滨海能源,天津滨海能源发展股份有限公司,天津市,滨海新区,10.07亿,2071.76万,863,1997-02-18,--,,其他发电,主营业务:蒸汽、电力的生产、供应和印刷业务,蒸汽、电力的生产、供应和印刷业务
251,697,炼石航空,炼石航空科技股份有限公司,咸阳市,秦都区,7.53亿,5325.88万,2411,1997-03-25,--,,稀有金属,主营业务:制造加工各种航空器相关精密零部件、结构件等,制造加工各种航空器相关精密零部件、结构件等
252,698,沈阳化工,沈阳化工股份有限公司,沈阳市,铁西区,119.08亿,2.28亿,2868,1997-02-20,--,,石油加工,主营业务:氯碱化工产品的生产和销售、石油化工产品的生产和销售、聚醚多元醇化工产品的生产和销售,氯碱化工产品的生产和销售、石油化工产品的生产和销售、聚醚多元醇化工产品的生产和销售
253,700,模塑科技,江南模塑科技股份有限公司,无锡市,江阴市,43.40亿,1.34亿,4239,1997-02-28,--,,汽车零部件,主营业务:轿车保险杠及防擦条等汽车装饰件的生产和销售、铸件的生产和销售、房地产开发和销售以及医院管理及健康咨询服务,轿车保险杠及防擦条等汽车装饰件的生产和销售、铸件的生产和销售、房地产开发和销售以及医院管理及健康咨询服务
254,701,厦门信达,厦门信达股份有限公司,厦门市,湖里区,546.71亿,1.39亿,6077,1997-02-26,--,,贸易,主营业务:电子信息产业(光电、物联网)、供应链业务(大宗贸易、汽车销售)、房地产业务、类金融业务,电子信息产业(光电、物联网)、供应链业务(大宗贸易、汽车销售)、房地产业务、类金融业务
255,702,正虹科技,湖南正虹科技发展股份有限公司,岳阳市,汨罗市,13.48亿,1482.54万,1047,1997-03-18,--,,饲料,主营业务:研发生产销售饲料产品,研发生产销售饲料产品
256,703,恒逸石化,恒逸石化股份有限公司,北海市,海城区,659.60亿,19.07亿,16557,1997-03-28,--,,涤纶,主营业务:对石化行业的投资；有色金属、建筑材料和机电产品及配件；货运代理；经营本企业及本企业成员单位资产产品和生产、科研所需的原材料、机械设备、仪器仪表、零配件及相关进出口业务。,对石化行业的投资；有色金属、建筑材料和机电产品及配件；货运代理；经营本企业及本企业成员单位资产产品和生产、科研所需的原材料、机械设备、仪器仪表、零配件及相关进出口业务。
257,705,浙江震元,浙江震元股份有限公司,绍兴市,越城区,25.78亿,6294.99万,1904,1997-04-10,--,,医药商业,主营业务:从事药品生产、销售,从事药品生产、销售
258,707,ST双环,湖北双环科技股份有限公司,孝感市,应城市,42.82亿,-7.54亿,1880,1997-04-15,--,,纯碱,主营业务:联碱产品的生产与销售。,联碱产品的生产与销售。
259,708,中信特钢,中信泰富特钢集团股份有限公司,黄石市,西塞山区,102.27亿,3.95亿,22189,1997-03-26,--,,特钢,主营业务:钢铁冶炼、钢材轧制、金属改制、压延加工、钢铁材料检测。,钢铁冶炼、钢材轧制、金属改制、压延加工、钢铁材料检测。
260,709,河钢股份,河钢股份有限公司,石家庄市,裕华区,1089.83亿,21.26亿,34439,1997-04-16,--,,普钢,主营业务:黑色金属的冶炼和加工,黑色金属的冶炼和加工
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
261,710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,成都市,龙泉驿区,11.71亿,2.44亿,1681,1997-04-22,--,,汽车零部件,主营业务:以测序为基础的基因检测服务与设备试剂销售,以测序为基础的基因检测服务与设备试剂销售
262,711,京蓝科技,京蓝科技股份有限公司,哈尔滨市,南岗区,18.08亿,3.01亿,1504,1997-04-11,--,,节水灌溉,主营业务:包括智慧生态运营服务、清洁能源服务综合在内的生态环保业务,包括智慧生态运营服务、清洁能源服务综合在内的生态环保业务
263,712,锦龙股份,广东锦龙发展股份有限公司,东莞市,东莞市,11.75亿,2.45亿,1564,1997-04-15,--,,证券,主营业务:证券业务,证券业务
264,713,丰乐种业,合肥丰乐种业股份有限公司,合肥市,合肥市,14.47亿,1462.56万,1196,1997-04-22,--,,种子,主营业务:种子和农化产业，此外还有香料产业和酒店服务业,种子和农化产业，此外还有香料产业和酒店服务业
265,715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,沈阳市,和平区,24.59亿,8457.69万,1505,1997-05-08,--,,百货,主营业务:国内一般商业贸易、汽车修理、汽车配件、仓储搬运、进出口贸易、停车服务、商住写字间、场地租赁、商业企业投资控股,国内一般商业贸易、汽车修理、汽车配件、仓储搬运、进出口贸易、停车服务、商住写字间、场地租赁、商业企业投资控股
266,716,黑芝麻,南方黑芝麻集团股份有限公司,玉林市,容县,27.72亿,1.05亿,2379,1997-04-18,--,,植物蛋白饮料,主营业务:从事大健康食品生产经营,从事大健康食品生产经营
267,717,韶钢松山,广东韶钢松山股份有限公司,韶关市,曲江区,251.15亿,25.79亿,--,1997-05-08,--,,普钢,主营业务:黑色金属冶炼加工，金属制品、焦炭及煤化工产品的生产、销售等,黑色金属冶炼加工，金属制品、焦炭及煤化工产品的生产、销售等
268,718,苏宁环球,苏宁环球股份有限公司,吉林市,昌邑区,57.68亿,10.69亿,994,1997-04-08,--,,房地产开发,主营业务:房地产开发,房地产开发
269,719,中原传媒,中原大地传媒股份有限公司,焦作市,解放区,81.74亿,7.00亿,14597,1997-03-31,--,,平面媒体,"主营业务:从事中小学教材、教辅的编制、印刷及发行业务,服务于河南省内的中小学在校学生。","从事中小学教材、教辅的编制、印刷及发行业务,服务于河南省内的中小学在校学生。"
270,720,新能泰山,山东新能泰山发电股份有限公司,泰安市,泰山区,27.45亿,-5.65亿,889,1997-05-09,--,,火电,主营业务:产业园开发运营业务、电线电缆业务,产业园开发运营业务、电线电缆业务
271,721,西安饮食,西安饮食股份有限公司,西安市,碑林区,4.94亿,-1319.72万,3285,1997-04-30,--,,餐饮,主营业务:传统餐饮服务和工业化食品的生产、加工及销售,传统餐饮服务和工业化食品的生产、加工及销售
